(255, 0, 40)
(255, 0, 30)
(255, 0, 14)
(255, 0, 3)
(255, 12, 0)
(255, 23, 0)
(255, 39, 0)
(255, 55, 0)
(255, 66, 0)
(255, 82, 0)
(255, 93, 0)
(255, 110, 0)
(255, 126, 0)
(255, 137, 0)
(255, 153, 0)
(255, 164, 0)
(255, 180, 0)
(255, 191, 0)
(255, 207, 0)
(255, 223, 0)
(255, 234, 0)
(255, 250, 0)
(248, 255, 0)
(232, 255, 0)
(216, 255, 0)
(205, 255, 0)
(189, 255, 0)
(178, 255, 0)
(162, 255, 0)
(151, 255, 0)
(135, 255, 0)
(118, 255, 0)
(108, 255, 0)
(91, 255, 0)
(81, 255, 0)
(64, 255, 0)
(48, 255, 0)
(37, 255, 0)
(21, 255, 0)
(10, 255, 0)
(0, 255, 5)
(0, 255, 21)
(0, 255, 32)
(0, 255, 48)
(0, 255, 59)
(0, 255, 75)
(0, 255, 86)
(0, 255, 102)
(0, 255, 118)
(0, 255, 129)
(0, 255, 145)
(0, 255, 155)
(0, 255, 172)
(0, 255, 188)
(0, 255, 198)
(0, 255, 215)
(0, 255, 225)
(0, 255, 241)
(0, 255, 252)
(0, 241, 255)
(0, 224, 255)
(0, 213, 255)
(0, 197, 255)
(0, 186, 255)
(0, 170, 255)
(0, 154, 255)
(0, 143, 255)
(0, 126, 255)
(0, 116, 255)
(0, 99, 255)
(0, 83, 255)
(0, 72, 255)
(0, 56, 255)
(0, 45, 255)
(0, 29, 255)
(0, 18, 255)
(0, 1, 255)
(14, 0, 255)
(25, 0, 255)
(41, 0, 255)
(52, 0, 255)
(68, 0, 255)
(85, 0, 255)
(95, 0, 255)
(112, 0, 255)
(123, 0, 255)
(139, 0, 255)
(150, 0, 255)
(166, 0, 255)
(182, 0, 255)
(193, 0, 255)
(210, 0, 255)
(220, 0, 255)
(237, 0, 255)
(253, 0, 255)
(255, 0, 245)
(255, 0, 229)
(255, 0, 218)
(255, 0, 202)
(255, 0, 191)
